,Type,Age,Breed1,Gender,Color1,Color2,MaturitySize,FurLength,Vaccinated,Sterilized,Health,Fee,Description,PhotoAmt,AdoptionSpeed
1540,Dog,2,Mixed Breed,Female,Brown,White,Medium,Short,Yes,No,Healthy,0,"I found 3 puppies on the road and mummy dog was not around. I could not leave them in the rain. Please help them to be one of your family. I already have 2 dogs, and difficult to keep them.. they are so cute and healthy. She is the one of them.",4,1
2173,Dog,5,Mixed Breed,Female,Brown,Cream,Medium,Medium,No,No,Healthy,0,Shes very playfull and smart,1,4
6076,Dog,48,Pomeranian,Male,Golden,No Color,Small,Medium,Yes,No,Healthy,0,My name is Mat. I'm a Pomeranian. 4 years old. Male. Friendly and adorable. Pls adopt me. contact:,1,4
6785,Dog,3,Mixed Breed,Male,Black,Gray,Medium,Medium,Yes,No,Healthy,0,"CHINNA THAMBHI(CT) WAS RESCUED FROM A MONSOON DRAIN ON 30/1/. HE GOT A MAGGOT INFESTED WOUND WHEN WAS FOUND. ALMOST AFTER 1 MONTH HE IS SO HEALTY AND THE WOUND IS CURED. HE IS A ACTIVE NAUGHTY BOY AND GET WELL ALONG WITH OTHER DOGS. HE IS ALREADY VACCINATED AND DEWORMED. HE IS LOOKING FOR A LOVELY FAMILY TO LIVE FOREVER HAPPILY. ADOPTER MUST BE A RESPONSIBLE AND CARING PERSON TOWARDS DOGS. CALL VIJAY LOCATION : TMN CHI LIUNG,KLANG,SELANGOR",2,2
11037,Dog,72,West Highland White Terrier Westie,Male,White,No Color,Medium,Medium,Yes,Yes,Healthy,0,Only for KLANG VALLEY. Rumy is looking for a new home as his current owner isn't able to care for him due to domestic issues. Must be able to walk him twice daily and keep him indoor only. Eats only fish kibbles. Needs regular grooming at pet shop. Please call if you can give him a good home.,1,2
1046,Cat,5,Domestic Short Hair,Female,Gray,White,Small,Short,Yes,Yes,Healthy,70,"Playful, cute and adorable kitten. Very pampered. Looking for good home urgently before Chinese New Year.",5,1
5798,Dog,3,Mixed Breed,Male,Golden,Cream,Medium,Short,Yes,No,Healthy,0,Litters of a crossed breed mama dog. Super duper adorable. Please call for appointment. Only sincere adopters.,3,2
11035,Dog,2,Mixed Breed,Female,Brown,No Color,Medium,Short,No,No,Healthy,0,Female puppy needs a good home. Free for adoption. Term & Condition applied.,2,3
3781,Dog,4,Mixed Breed,Female,Brown,White,Medium,Short,No,No,Healthy,0,"Lucky is an active and adorable dog. She was rescued together with 4 other puppies by a friend. I have been taking care of her since she is about a month old. I have to give her up for adoption because my neighbour complaint about her being noisy recently. We used to keep her in the house when she was small but as she is growing bigger, my mum wants her to stay outside (at the porch area). I think she is not used to be alone in the dark during night time, that's why she makes noise.",0,4
10195,Dog,1,Labrador Retriever,Female,Black,Brown,Medium,Short,Yes,No,Healthy,50,"I rescue this puppy at a hawker stall near my housing area. She was abandoned and she look lost. She is about 3 weeks old, just started her first meal on soft puppy can food. She is a loves to be around people, loves cuddling on your lap,very energetic, playful little girl. I had took her to the vet and she is in good health, no injuries. I hope she can be fostered/adopted as I cannot continue fostering her. If any of you is interested, please comment below and I`ll get back to you as soon as possible. Thank you.",2,1
4885,Dog,2,Mixed Breed,Female,Brown,White,Medium,Short,No,No,Healthy,0,"My younger sisters rescued Boldy from an abandoned house. She is approximately 2 months old, dewormed, deflead & is a happy, healthy & loving pup :)",6,2
656,Cat,3,Domestic Medium Hair,Male,Black,White,Medium,Medium,Yes,No,Healthy,0,Adorable tuxedo kitten with pink toe beans looking for furever home! Please WhatsApp me if you are / can: 1) Keep indoor and not cage all the time 2) Feed non-coloring cat biscuits 3) Financially-able to bring to the vet when he is sick and for his yearly vaccination 4) Allow me to follow up with his latest condition once a month 5) Serious and responsible cat lovers who believes in spaying / neutering 6) Comfortable of me asking a few questions before handing him over,14,4
667,Dog,12,Mixed Breed,Male,Black,Golden,Medium,Medium,No,Yes,Healthy,0,"9 October : Blackie Boy went to a very loving family and a home with space for him to roam! ***** Blackie Boy is an adorable dog who loves following people around (those whom he trust, especially his fosterers!!!) He enjoys lazing on grass, and trotting around (being chased by his human companions for exercise). Blackie Boy responds well to his name, and will look up everytime he's called, and knows the command come. He enjoys food, especially pure chunks of chicken breast, high 5 bread with butter (though the vet's advised not to give him butter as it's bad for dog's pancrease), and his kibbles! He loves crunching on kibbles, and doggie-snacks! Blackie Boy is available to a good home with loving family members who'd spend some time with him and ensure he gets to roam free in the garden. He's ideal for families and especially those who love dogs! Note: he's a penchant to escape from homes where he doesn't feel loved, whereas at his fosterers..even when he strays out, he'd hang around just outside the home, knowing there's love and security there. So, those of you with BIG HEARTS, adopt him!!! Great for older folks, families or singles with lots of love! He's easy to maintain!",11,3
4600,Dog,48,Jack Russell Terrier,Male,Brown,White,Small,Short,Yes,Not Sure,Healthy,0,"Bongo is a Jack Russel who was found in Kinderland, USJ Subang Jaya. The friendly dog is about 4 years old and is very affectionate. If you wish to adopt him, please call us at.",3,2
1190,Dog,60,Siberian Husky,Female,Black,Gray,Medium,Medium,Not Sure,Not Sure,Healthy,0,She wandering around our taman about 2 weeks and till 19th June we bring her into our house and start to advertise on facebook to look for her owner. Her micro chip no: . But the information in the chip not update!,2,1
3360,Cat,12,Domestic Short Hair,Male,White,No Color,Large,Short,Yes,Yes,Healthy,0,"Snowie was rescued on 10 July from the main road in Bukit Indah, Ampang. We found Snowie lying in the middle of the road, completely disoriented, dehydrated and in shock. Luckily we saw him when we did or he may have been rolled over by a car... No one has claimed him todate, and so he is now available for adoption to a good home. He has been fully vaccinated and has also been neutered. He has a very sweet temperament, is wary of strangers initially but will warm up to you quite quickly. He is also okay with dogs that are quiet and friendly. Snowie is also a very talkative cat and is happy to have long conversations with you... :) Please SMS or WhatsApp if you can give Snowie a good home. Terms and Conditions for adoption: 1. Must be an indoor cat. 2. Must not be caged for extended periods or unnecessarily. 3. Must be given lots of love and affection. 4. He is currently fed Acana/Orijen Kibble. Would prefer if he can be fed the same food or a good quality grain free kibble.",2,2
127,Dog,8,Mixed Breed,Male,Black,Brown,Medium,Short,Not Sure,Yes,Healthy,0,"Java is a handsome and good natured puppy. He was found with Tara, the black lab which we believed is his mother. They were both believed to be abandoned at shops in Ara Damansara. Java is good natured and alert watchdog. We hope they can be rehomed together. Neutering cost to be borne by adopter. Please give him a home.",3,2
162,Dog,19,Mixed Breed,Female,Black,No Color,Medium,Short,Yes,Yes,Healthy,80,"This is a young female dog (black/tan) at PAWS, Subang. Well trimmed toes, clean teeth(look young from teeth condition), very smooth coat, someone's lost dog? or Labrador mix? She has good attention span, very alert but not hyperactive and loves human. Guess what, she has very unique eye coloration. Please pay her a visit and PAWS, Subang and give her a chance to have a real family. D.O.B.: May [Vaccinated, dewormed, spayed] ID tag: D (see title) More info page : Adoption Page - PAWS PJ There are a lot more at the shelter, do drop by to visit / volunteer/donate.",3,4
8968,Cat,4,Domestic Short Hair,Male,Golden,No Color,Medium,Short,Yes,No,Healthy,0,"We have a super cute kitten that we rescued from mid valley. He needs a home, he has been wormed ,immunized etc with the vet records to go with it. He has had his Rabies vaccination done and has been microchipped with all records. We'll also be desexing him, but he is too young at the moment. It breaks our hearts to have to give him up, but Australia's strict quarantine laws mean it will be almost impossible to get him home. Please contact me if you can give sweet, naughty Tango a forever home on",2,2
7938,Dog,30,Schnauzer,Male,Black,No Color,Small,Short,Yes,Yes,Healthy,0,"This is Norman. We recently took him home from the SPCA as an addition to our family but unfortunately, he's been clashing with our resident dog, Sunshine! They just do NOT get along, which is unfortunate as Norman is a great little dog on his own. Norman would be perfect in a one-dog household. He's loving, smart and LOVELY with kids. Very friendly with people and other dogs - except ours! Actually, our first dog is the one with the territorial issues. Norman is already neutered, housetrained and learning his commands quickly. He's a 2.5 year old schnauzer-poodle mix. He has been vaccinated and dewormed, I have also had my vet examine him (all at great expense) - he is in perfect health. I have also had him tested for heartworms - and he is negative and has been given a yearly heartworm vaccination. Please get in touch if you'd like to adopt him. I do not want to send him back to the SPCA if I can help it, but my family and Sunshine cannot put up with the dog-fights and chaos in our home (the dogs live indoors) for much longer. It's been 2 weeks since we brought him home and it's just not working out. I think Norman would be perfect for you if you don't already have a dog in your home. Though I do not think the fault lies entirely with Norman, our other dog was here first! Please sms me ONLY if you are serious and willing to take him on soon, and I will call you back. We are probably only going to foster Norman for a few more days before we take him back to the shelter :-(",3,1
568,Dog,1,Mixed Breed,Female,Black,Brown,Medium,Medium,No,No,Healthy,0,"This puppy has been rescued at Puncak Jalil PUJ3 in front of the empty shop lot. Hazel is very adorable and really looking forward for a new home. She want is LOVE and CARE from someone who can provide them a GOOD, LOVING, permanent home. Please take note that pups require a lot of care and patience. Not recommended for those with long working hours. Requirements for Adoption: ========================= Cost of vaccinations and neutering to be borne by adopter.Vaccinations and neutering/spaying at 6 months of age are COMPULSORY. If you are interested in adopting,kindly contact me by call or sms . Please do not submit an inquiry if you are not serious about adopting.",13,3
4480,Dog,24,Poodle,Male,Cream,No Color,Medium,Medium,Yes,No,Healthy,0,I'm looking for a pet lover to adopt my 2 years+ mini poodle which apricot in colour. He is fully vaccinated and dewormed with a minor skin alergy.,4,1
7574,Dog,1,Mixed Breed,Male,Brown,No Color,Medium,Medium,No,No,Healthy,38,"Found him at the street along with his brother who has serious maggot wounds. but he is % healthy confirmed by vet. Dewormed & lice are removed. sorry I have to claim back RM38 vet fee,his brother's bill is RM,and a long period + revisitation to vet. A burden for me who is just a ordinary white-collar.",17,1
204,Cat,3,Siamese,Male,Black,White,Small,Short,No,No,Healthy,0,Mixed breed Siamese. Active and healthy. Adopter bring him to vaccine and deworming.,1,2
1361,Cat,2,Domestic Short Hair,Female,Black,Cream,Small,Short,No,No,Healthy,0,"Belle is a playful little tom boy. She's mischievous , playful yet adorable little kitty that brightens up your day! She needs a loving owner to pet her, hope to find a caring and loving home for Belle! Kindly contact us for more infomations!",5,2
6776,Cat,12,Domestic Medium Hair,Male,White,No Color,Small,Short,Yes,Yes,Healthy,0,"This is Theoden. My friend Jane Wee found him with a 12"" wound on his spine and was suspected abused. Jane sent him to the vet for treatment and he has healed % and is healthy. Currently, I am his foster mom and Theoden is being kept in the guest room. He has been rehabilitated from a stray to a condo cat. He is vaccinated and neutered. Character wise, he is smart, obedient and independent. Any takers, please PM me. Cheers! :)",5,1
2353,Dog,1,Mixed Breed,Female,Cream,White,Medium,Short,No,No,Healthy,0,"Together 5 puppies, Miko has been found near my office. We are trying to look for her a lovely home. Anyone who wish to give Miko a home and love, please email to:  ,com or add me to your Msger or MSN Tell us you name, place, and whether u agree the terms and condition which listed below. Terms and Condition: The person who want to adopt the dog 1) Have to stay in ""pet allowed"" property. 2) Apply license for the dog and renew the license annually. 3) Have to bring the dog for vaccination. 4) Have to do heartworm prevention and deworming. 5) Have to neuter the dog. 停車場管理單位又開始在我們上班附近捕捉小狗狗。 這一次，共捉了10隻，都還年幼， 剛開眼，還未可以自行進食。 我們想， 如果這些小狗狗被丢到郊外， 大概沒有辦法生存。 我們暫時將5隻帶回來， 其他5隻就拜託停車場管理單位通融一星期。 一星期後再看看有沒有能力帶他們回來。 這些小狗狗需要一個家及愛他們的主人。 我們將他們的資料放上網， 希望可以為他們找到一個幸福。 欲領養者必須： 1) 住在可以合法養寵物的地方 2) 每年為狗狗更新執照 3) 定期為帶狗狗去診所注射疫苗 4) 定期杜蟲 5) 認同共答應在狗狗成年時，帶狗狗去作絕育手術。",10,3
7238,Cat,2,Extra-Toes Cat (Hemingway Polydactyl),Male,Brown,White,Medium,Medium,Yes,No,Healthy,50,"Luna was rescued from the undercarriage of a car after being stuck there for almost a day. That sooty, forlorn kitty turned out to be the cutest, most affectionate fluff ball after a bath and cuddle. He is a polydactyl cat (six toes on his paws). He is about 2 months old, very playful and affectionate, and understands the meaning of the word NO if you don't want him to do something. He's also litter trained. He has had his first vaccination and I will take care of the second vaccination. He must be neutered at the appropriate age. I will cover the cost of neutering if you bring him to my vet. Looking for an indoor-only cat home for him if possible. I will match and donate the adoption fee to an animal welfare charity, or you may donate the amount yourself and I will match it.",4,1
384,Dog,76,Beagle,Female,Black,Brown,Medium,Medium,Yes,No,Healthy,0,"Babie she is a smart, playfull and friendly dog with the MKA certificate. Only for the serious dog lover are welcome for adoption.",2,2
5261,Cat,4,Domestic Short Hair,Female,Black,Yellow,Medium,Short,No,No,Healthy,30,"Lisa The Cheras has 5 siblings. Me and my friends found them in a box, dump beside a ""surau"" (muslim place for prayer) at Downtown Cheras. That time she and her siblings was 2 months old. Now she's 4 1/2 months old (according to vet). Loves the attention. Loves feet too. She'll chase my feet, just to rub her cheek on it. She's one playful and adorable kitten. She is litter trained too..",1,1
3625,Dog,1,Mixed Breed,Female,Black,Brown,Medium,Short,No,No,Healthy,0,"Puppy of office dogs. Needs a safe and loving home urgently. Not safe as the office is full of in and out cars, so fear that puppy will get injured by one of the cars.",1,2
7166,Cat,3,Domestic Short Hair,Male,Brown,No Color,Medium,Short,No,No,Healthy,0,"This kitten is healthy, friendly and very playful.",3,1
467,Cat,1,Domestic Short Hair,Male,Brown,Golden,Medium,Short,No,No,Healthy,15,"We found it from seksyen 17 PJ old flat. He is very new born, can eat can meat, kind of sticky to human but very active too.",5,2
3724,Cat,2,Domestic Short Hair,Male,Golden,Gray,Small,Medium,No,No,Healthy,0,"Adopter must neuter once they are 6 months old. Breeding a rescued cat is strictly not allowed. One Petz 2-1-20 One Square, Tingkat Mahsuri 1, Bayan Lepas, Penang.",2,1
1366,Dog,4,Mixed Breed,Female,Brown,White,Medium,Short,Yes,No,Healthy,0,About Dolly :- Cheerful and gentle are the words to describe Dolly. She was abandoned in a bag and we took her in. Dolly has been with us for 6 weeks and we are looking a loving home for her. Adoption requirement : a) Dolly must be neutered when she reached the maturity age. b) Adopter must be an animal lover and preferably have experience in handling dog. c) No long hour of caging or tied on leash. d) Provide necessary medical attention. e) Allow visitation for us to follow-up on Dolly,5,2
1878,Dog,1,Mixed Breed,Female,Brown,Golden,Small,Short,No,No,Healthy,0,She is cute and she know how to sit and shake hand,2,4
11512,Dog,7,Pug,Male,Black,Brown,Small,Short,Yes,Yes,Healthy,0,"Pug for adoption. highly active, yet obedient, stays near owner when offleash outside, playful, friendly with humans n other pets, plus point if he has another active small breed doggy companion he can play with. owner unable to keep cus they cant keep up with his's hyperactiveness.. To be kept indoors. and Adopter MUST be an ACTIVE person and MUST exercise the dog daily or otherwise alternatively. no cage up pls.",0,2
3579,Dog,3,Labrador Retriever,Female,Black,Brown,Medium,Short,Yes,No,Healthy,0,"A Lab Mix Playful, energetic, smart and alert! Adopter must be willing to spay!",4,3
1310,Cat,11,Domestic Medium Hair,Female,Black,Gray,Medium,Medium,Yes,Yes,Healthy,0,"She's cute. Has short tail. Very active and loving. Immediately want to give to anyone who loves cat and can take care of her. If interested, Call Diyana :",1,4
10994,Dog,3,Mixed Breed,Female,White,No Color,Medium,Short,Yes,No,Healthy,200,"Minnie is found loitering at a nearby kopitiam in Sg Buloh one morning nearby where i'm working and sensing she could be abandoned as there was no adult dogs or other pups nearby, she was extremely hungry and thirsty too as she gulped down the kibbles and water that i have in my car when feeding it to her. She was nearly run down by a vehicles while i had my breakfast and since it is not safe for her to be on the street i decided to foster her while looking for potential adopter. She is very playful and at a stage where she like to chew and bite on stuff so the adopter needs to train her and be patient, all puppiesd are cute but requires a lot of patience and discipline but rest assured once they have matured they will learn to be more docile but the adopter plays a major role in this. A minimum fee of RM is needed for her spaying/neutering operation when she is 6 months old to prevent future pregnancies and diseases such as uterus cancer, so please bear in mind the adoption fee is mainly used for Minnie's operation and welfare. As long as the adopter takes on the responsibility to care for Minnie's welfare throughout, i'll be more than happy so please give her a forever home today!",9,2
979,Dog,3,Mixed Breed,Male,Black,Brown,Small,Short,Not Sure,Not Sure,Healthy,0,This dog is so cute.. Very active and smart... We saw in the street last week... But i cant find the owner.. Then i decided to bring home ... But sadly i got one dog already.. My dog dont want to eat and fighting with the stray dog... That is why i decided to give to somebody who can look after him well..,1,4
7232,Cat,8,Domestic Short Hair,Female,Black,Brown,Medium,Short,Not Sure,Not Sure,Healthy,0,nama dia jooby..... dh lama da jaga dia.. skang dh ada babby... tp saya tak boleh nk jaga dia lagi dah coz nk smbung study... law nk buang kecian pulak... harap-harap ada yang sudi adopted dia.. jooby ni kucng yg baik... dengar ckp... hehe,5,1
8666,Dog,3,Mixed Breed,Female,Golden,White,Medium,Short,Yes,Not Sure,Healthy,0,She is being care for by a kind uncle but selfish people around that area want to call council. Please anyone out there need an intelligent..lovely and obedient dog that will promise to give you her love and protection to you and your family. She is so unique with all white but Gold head Please give this beautiful pup a chance to live and cherish your life,6,3
11104,Cat,4,Domestic Short Hair,Male,Black,White,Medium,Short,Yes,Not Sure,Healthy,0,"Hi my name is Oscar. My foster meowmy found me at her house's compound area when I was there to hve some of the kibbles tht she left for the stray cat. I decided to stay instead of leaving. While I was playing at her car tyre and jumped under the car side skirts to hide under the car bonnet, meowmy quickly took me in bcz she worried about me. At first she thoughts I belong to any furrmily. Since she founds some mites on my dirty fur. She decided tht I was one of the strays or abandoned kitten. Meowmy took me to the vet for the checked up. I got my first vaccination n some other treatments too. Meowmy said it's good for me so I can stay healthy. Meowmy calls me Oscar bcz she said I look so classy, just purrrfect for the red carpet award. I am an active kitten. I hope my furrever family who likes to adopt me is willing to love, care, gve me full of attention n meowmy says plz take me to the vets for the regular checks up. Meowmy says plz do WhatsApp or sms her for more details. She will not be able to answer any calls as she is outstations most of the times.",4,2
4913,Dog,24,Schnauzer,Female,Gray,White,Small,Medium,Yes,No,Healthy,150,"This dog was rescued (together with 2 more dogs) and purchased from a fish shop who neglected them with no food, no water and filthy cages under the sun. they were malnourished and have been under our care for more than 2 months now they are healthy. Scoopy is a small breed dog about 8kg in weight. she has been debarked(we suspect she is a breeding dog) Of mixed breed. have not been groomed therefore fur is thick and yellowish otherwise healthy. Those who are keen may enquire. pictures of them before rescue will be shown to adopters. Dog must be spayed before adoption and adopter bare the cost. pls enquire.",4,3
3836,Cat,2,Domestic Medium Hair,Male,Brown,White,Medium,Medium,No,No,Healthy,0,"The white kittens may be mixed Siamese, the brown one is a mixed tortoiseshell/calico. One of the white kitten is male, the other two are female. Location:Seremban Selangor/KL probably can during weekends. Preferably take them together. They are very healthy, playful, manja kitties. Please adopt soon because the original owner is in too much stress since they already have too many cats to handle.",3,3
5895,Cat,0,Calico,Female,Black,Golden,Small,Medium,No,No,Healthy,100,"She is a Calico kitten rescue, a strong, healthy and energetic bundle of joy, and needs a loving companion.",3,1
5297,Dog,3,Mixed Breed,Female,Black,Brown,Small,Short,Yes,No,Healthy,0,"Molly was rescued together with her sister, Daisy, when they were found frantically running in the middle of the night inside a housing area in USJ, Subang. Due to their friendly nature, I suspect they have been abandoned or lost. My vet and I assume they are siblings because they were running in a pack of 2 looking for her earlier rescued sister. I'm not sure what is her breed mix but she an adorable pup. Beside the looks, Molly is a lovely puppy. She is friendly, loves cuddles, gets along with other dogs and very obedient. She has been vaccinated, dewormed, deflead and yet to be spay as she is approximately 3months old according to our Vet. She would make a fun loving addition to your home!! Give Molly a second chance and she will show you how much she can love you. Serious adopters only. Kindly contact the number in this profile. Thank you and god bless. Adopt, don't shop. You never get the dog you want, You always get a dog you need. - Cesar Milan",6,4
7221,Dog,24,Border Collie,Female,Black,White,Medium,Long,Yes,Yes,Healthy,0,"Momo was abandoned by her previous owner. She is very smart and obedient, knows basic commands and very responsive to owner. We hope to find her a good home.Please call if you can give her a good home.",2,4
6664,Dog,1,Mixed Breed,Male,Brown,White,Medium,Medium,No,No,Healthy,0,"Clumsy , cute ŷand friendly little boy! Youngest in the family that loves cuddle. very adorable and knows how to wage tail upon seeing people! make u happy seeing him.",12,1
11044,Dog,12,Mixed Breed,Female,Brown,Cream,Medium,Short,Yes,Yes,Healthy,0,"Kimberly is slim, slick with upright ears & moves with speed.More hound like in physique but inquisitive like a dingo. Her hair is short with a darker shade band right down the spine. pls call:",3,4
11407,Dog,48,Cocker Spaniel,Female,Brown,No Color,Medium,Short,Not Sure,Not Sure,Healthy,0,"Date found: Wednesday, 24 March Time: 6.00 pm Breed: American Cocker Spaniel Sex: Bitch Age: Judging by her teeth, 3-5 years old. Place Found: Bandar Sungai Long Characteristics: Brown, short furred, had a flea collar and choke chain around her. No visible disease, just starved. Had her frontline-d today. Groomed, and checked by the vet. Free from any visible diseases except for a mild skin condition and severely underfed. Have checked with Vets and pet stores around the area but have failed to find a match. After just one day, she is regaining her appetite and is doing well. Potty trained, and would only do her business outside. Unfortunately I cannot keep her, she is currently boarding at the kind-hearted groomers till today for free. If by today there are no fosterers or adopters, she will be sent to SPCA :( I have tried posting this in numerous sites, but sadly have gotten no results. I'd decided to name her ""megan"" for now. Megan is obedient and caring, well tempered and perfect for a small family. For more info check out: If you are interested please CALL ME IMMEDIATELY at. UPDATE: Due to the numerous amounts of calls regarding breeding Megan. I shall have two conditions for adoption. 1. Megan MUST be spayed. Spaying costs are to be shared equally. 2. I get to check on Megan at least twice a year (for the sake of her well-being).",4,1
1488,Cat,3,Domestic Short Hair,Female,Black,White,Medium,Short,Yes,No,Healthy,0,"We found Peppermint about 2 weeks ago, alone without any adult cats or siblings with her. Peppermint was screaming for food, so she clearly was not able to survive in the streets on her own. We rescued her and now we need to find her a home as we have too many cats. She is very loving, active and litter trained. If you are interested in Peppermint, please sms me at . Preferably Malaysians but not students as i believe raising a cat is a big responsibility. Thank you.",10,3
4042,Dog,2,Mixed Breed,Female,Black,Brown,Medium,Medium,No,Yes,Healthy,0,Dog 4 Adoption,5,4
4366,Dog,2,Mixed Breed,Male,Brown,Cream,Medium,Short,No,No,Healthy,0,I've been feeding Casey's mum and his other siblings for the past few months. They are currently taking a shelter inside the temple behind my office. Please open your heart to adopt Casey.He deserves to be loved and cared for. No caging or chaining is allowed. He must be allowed to run freely within the house compound. Only serious adopters will be entertained.,3,4
10939,Cat,36,Domestic Short Hair,Male,Golden,White,Medium,Short,Yes,Yes,Healthy,250,"We adopted Edward as an adult 3-year old from a shelter in a pet fair six months ago. We have to give up Edward because we are expecting to move to a non-pet-friendly location in a few months time. He has been neutered, dewormed and vaccinated. Find us near Bandar Puchong Jaya. He is very tame, has a sweet temperament and likes to be brushed frequently. He particularly enjoys ear-washing with wet nappies. He is a strictly indoor cat to avoid diseases and accidents. He is very sensitive to kibble brand change and will vomit, so we advise you to stick to the brand we are using (Royal Canin™ Veterinarian Cat Food). I am sorry that a fee of will be charged to compensate edwards vaccination, medical and dental cost. However upon interview if the new owner is nice and can fulfill our requirement, we can consider free adoption. (Because a good owner is hard to find)",5,4
9772,Cat,24,Domestic Short Hair,Male,Gray,No Color,Large,Short,Yes,Yes,Healthy,0,"Dear all, my name is pipi, I'm 2 years old. I'm like to eat, everyday having 3 meals, which is breakfast & supper with dry biscuits, and dinner with wet can food :) I like pink color! Cause I have a pink color cats fur-stick. I can lay on the floor & play it by myself. I don't like to shower, but every month I need to get a insect spray to keep insect away from me. I never going step on the street, because I am an house born cat. I have an microchip at my neck. So I will never getting lost. I have been train do not claim over table, always need to keep the claw. So I will never make any one else getting hurt. Beside, I'm a very clever cat, I can understand mandarin too! Ever night I will going back to my cage to sleep, but sometimes I need you to carry me back to the cage.",8,3
7442,Cat,4,Domestic Short Hair,Male,Gray,White,Medium,Short,No,No,Healthy,0,"A male kitten with white and blue-gray cheetah patches coat. Very healthy, cudly and love to be touch. Toilet trained.",6,3
4451,Cat,3,Siamese,Female,Cream,Gray,Small,Short,No,No,Healthy,0,"Mommy found me at the back of CAPS SQUARE on 1 evening after had her dinner break with her 2 colleauges. When she saw me lying alone in the darks, she grab me without any doubt n without feeling disgusting due to my dirty condition. She brought me to her office n kept me there until she off duty at pm. Then she took me home and feed me. Daddy fell in love with me right away. He cleaned me up and named me BIRU coz I have a pair of blue eyes, but mommy prefer to call me Bluee. I get along well with the rest of the family.",14,2
5933,Cat,2,Domestic Long Hair,Male,Black,White,Small,Short,No,No,Healthy,0,Took care of a stray mommy cat who gave birth to 3 kittens. Now the kittens need a home.,3,2
7471,Cat,12,Domestic Short Hair,Male,Black,White,Medium,Short,Yes,Yes,Healthy,0,"Beautiful, loving and friendly cat for adoption.",1,1
10063,Cat,4,Domestic Short Hair,Female,Brown,Cream,Medium,Short,No,Yes,Healthy,0,"Found abandoned, in an area full of dogs. Rescued and neutered. Very friendly, very ""manja"". Loves to seek attention",2,4
4055,Dog,8,Mixed Breed,Female,Cream,White,Medium,Short,Yes,Yes,Healthy,0,Mix breed of jack russel(female) 7 months looking for serious adopter only. Adopter will be screen out from various adopter who is really love the pet and well care to it the most will win the adoption. Adoption is free but adopter needs to pay for the vaccine and spay fees when adoption(Rm). Welcome to contact me.,3,4
7918,Dog,36,Schnauzer,Male,Black,White,Medium,Medium,Not Sure,Not Sure,Healthy,0,"Lost dog roaming around my neighbourhood.We just handed him to SPCA Ampang on 21/7.He understand basic command, well behaved, Healthy and has brown eyes. This dog is definately a keeper. Pls contact/visit SPCA to adopt.Hope he gets a good home.",2,3
5157,Cat,3,Domestic Short Hair,Female,Brown,Gray,Medium,Short,Yes,No,Healthy,0,"This kitty was picked up from a food court yesterday. According to the hawker, her siblings had died. One due to sickness and one was hit by a car. She was brought to the vet yesterday and she is in healthy condition. She is extremely friendly and not so naughty. She needs a home. Please give her a chance.",8,2
6495,Cat,3,Tiger,Female,White,No Color,Medium,Medium,No,No,Healthy,0,Actually its just village cat. I'm not sure to put what breed so randomly choose tiger..hihi Nice cat and can make your life happy.,1,3
4236,Dog,24,Mixed Breed,Female,Cream,White,Medium,Medium,Yes,Yes,Healthy,0,"Louise is definitely a darling when she is surrounded by human friends. She is expecially manja and loves human touch. Suitable for owner who need companion. Cum with a very sweet and possessive nature, she does not like her doggie companions. Owner with other doggie at home must be willing to spend extra time to train her to be passionate towards her furry mates. Otherwise she would be a lovely companion to you. Please call up if you are interested to view Louise.",2,3
4494,Dog,60,Bullmastiff,Male,Cream,Gray,Large,Short,Yes,Yes,Healthy,0,"I am helping a friend post this. She has health problems and isn't able to take care of T-Rex in the long term. T-Rex is a brindle, weighs about 34 kgs, smaller than the normal mastiff. Looks like a giant but gentle, sometimes he is bullied by his friend, the maltese. He doesn't really bark but with his size, it scares people away. Please help to find him a good home.",5,4
6004,Cat,7,Oriental Short Hair,Female,Black,Brown,Medium,Short,Yes,No,Healthy,250,"I will give to you all her foods (Kitten IAMS, Smartheart 3 tin, Nutram Kitten g) and all her things (toilet tray, Cage, Basket) . She's toilet train too. Don't worry. Contact me as soon as possible since i'll move to Moscow, Russia. Thank you.",3,3
9659,Cat,7,Domestic Short Hair,Female,Golden,Yellow,Medium,Short,Not Sure,Not Sure,Healthy,0,"Kitty followed me home after I got down from a bus. I am unable to foster her as I have other 4 rescued cats staying with me now. I named her Haneda Neko-san and hoping that she will find a good loving family who will care for her. She is very well-behaved, quiet and sits quietly on the floor when I stayed in the room doing my work. She will be a loving companion for any home.",1,4
6775,Cat,1,Tortoiseshell,Female,Black,Brown,Small,Medium,No,No,Healthy,0,"stray kitten together with 4 other siblings. need to be adopted in pairs. just so that they all have friends to play with. healthy, playful, active. gender & age not sure.",3,0
6512,Cat,60,Domestic Short Hair,Male,Gray,No Color,Large,Short,Not Sure,Yes,Minor Injury,0,"Stray cat, rescued by my sister and me about 3 weeks ago. Injured - believed he had a fight with other cat. A very dear cat, not afraid of human being. We brought him to the vet to be treated and neutered. Sad to say doctor confirmed he has FIV. We could not take him because we already have 8 cats and we do not have space for him anymore. Cat lovers out there, please adopt him because we can't let him out again as other cats will fight with him again.",1,2
9638,Dog,1,Mixed Breed,Male,Black,Brown,Medium,Short,No,No,Healthy,0,Cute and intelligent puppies looking for a good home. No tying or caging for long hours except for precautionary purposes commitment to neuter him is compulsory Serious adopter pls call me.,8,2
